primarysymbol,siccode
A,3826
AA,3334
AAAG,4100
AAAU,6221
AABA,7373
AABB,8200
AAC,8093
AACS,3559
AAGC,1040
AAGH,2834
AAIIQ,3721
AAL,4512
AAMC,6500
AAME,6311
AAN,7359
AANC,7389
AAOI,3674
AAON,3585
AAP,5531
AAPL,3571
AAPT,2040
AASL,7372
AASP,5900
AAT,6798
AATP,8000
AAU,1000
AAVVF,1311
AAWC,7371
AAWW,4522
AAXN,3480
AAXT,9995
AB,6282
ABAHF,5122
ABB,3613
ABBB,6035
ABBV,2834
ABBY,1311
ABC,5122
ABCB,6022
ABCE,1700
ABCP,6512
ABDR,5812
ABEC,7372
ABENU,2860
ABEO,2834
ABEPF,1000
ABEV,2080
ABG,5500
ABGOY,8711
ABIL,3669
ABIO,2835
ABKB,7900
ABLE,5990
ABLT,3089
ABM,7340
ABMC,2834
ABMD,3841
ABML,1000
ABMT,3842
ABQQ,6794
ABR,6798
ABSR,7389
ABT,2834
ABTO,6021
ABTX,6022
ABUS,2834
ABVC,2834
ABVG,6770
ABVN,8742
ABWN,5961
ABZUF,1040
AC,6211
ACA,3440
ACAD,2834
ACAM,6770
ACAN,8742
ACBD,3440
ACBI,6022
ACBM,7900
ACC,6798
ACCA,5010
ACCO,2780
ACCR,4813
ACER,2834
ACETQ,5122
ACEZ,6770
ACFN,8711
ACGI,7389
ACGL,6331
ACGXD,4700
ACH,3334
ACHC,8093
ACHFF,8731
ACHN,2834
ACHV,2835
ACIA,3674
ACIU,2834
ACIW,7372
ACLH,6500
ACLS,3559
ACLZ,7389
ACM,8711
ACMB,4700
ACMC,6500
ACMR,3559
ACMT,6351
ACN,7389
ACNB,6022
ACNI,2711
ACNV,8000
ACOR,2836
ACPPQ,6798
ACPS,6411
ACRB,2890
ACRE,6798
ACRL,8742
ACRS,2834
ACRT,7372
ACRX,2834
ACST,2834
ACTG,6794
ACTL,7389
ACTT,6770
ACU,3420
ACUIF,7372
ACUR,2834
ACUS,2834
ACY,7359
ADAC,4899
ADAD,7372
ADAP,2836
ADAPL,4841
ADBE,7372
ADBN,2741
ADC,6798
ADEC,3714
ADES,2890
ADFS,3790
ADGL,5531
ADGO,7374
ADGS,8700
ADHC,8093
ADHG,7310
ADI,3674
ADIA,9995
ADIL,2834
ADLI,3843
ADM,2070
ADMA,2836
ADMG,1000
ADMP,2834
ADMS,2834
ADMT,3845
ADMV,5130
ADNT,3714
ADNY,5171
ADOB,2300
ADOM,3714
ADP,7374
ADPT,2836
ADRO,2834
ADS,7389
ADSK,7372
ADST,7372
ADSV,3060
ADSW,4953
ADT,7381
ADTC,3490
ADTM,7310
ADTN,3661
ADTR,3577
ADTTF,3674
ADUS,8082
ADVC,7372
ADVM,2836
ADVT,6770
ADVV,5130
ADXS,2834
ADYX,3841
AE,5172
AEB,6311
AEDC,1311
AEE,4931
AEEX,8742
AEGG,1311
AEGN,1623
AEGY,2860
AEHR,3825
AEIS,3679
AEL,6311
AEM,1040
AEMD,3826
AENG,3510
AEO,5651
AEP,4911
AEPT,4941
AER,7359
AERG,3812
AERI,2836
AERN,3690
AERO,5200
AERS,4812
AES,4991
AESE,7900
AETUF,1311
AEXE,1090
AEY,5000
AEYE,7372
AEZS,2834
AFBA,6035
AFBG,3290
AFFN,3669
AFFS,6331
AFFU,9995
AFFY,2834
AFG,6331
AFH,6331
AFI,3089
AFIN,6798
AFL,6321
AFLYY,4512
AFMD,2834
AFML,5812
AFOM,7900
AFPW,2860
AFTM,3663
AFYG,2040
AG,1040
AGBA,6770
AGCBF,1040
AGCO,3523
AGCZ,5090
AGDXF,1000
AGDY,3713
AGE,2834
AGEN,2836
AGFS,6770
AGGG,5500
AGGI,2990
AGGX,2834
AGHC,8071
AGHI,4899
AGI,1040
AGIN,3822
AGIO,2834
AGLE,2834
AGLY,7350
AGM'A,6111
AGMH,7371
AGN,2834
AGNC,6798
AGO,6351
AGPL,7372
AGQ,6221
AGR,4911
AGRO,100
AGRX,2834
AGS,3990
AGSM,8742
AGSO,3523
AGTC,2836
AGTK,5960
AGTX,2821
AGX,1700
AGYP,6770
AGYS,7373
AHAD,1040
AHAG,3443
AHC,2711
AHCP,2721
AHFD,2060
AHFP,2020
AHH,6500
AHII,4950
AHIX,7374
AHL.C,6331
AHNR,2082
AHOTF,6500
AHPI,3842
AHROQ,2834
AHT,6798
AI,6798
AIDA,2834
AIFS,7374
AIG,6331
AIGI,8742
